loss_train,loss_valid
15.687617961348963,1.2882814407348633
1.5483610278069304,0.17974490140165603
0.28539942036659394,0.0556131654552051
0.20337312548396183,0.059492820493655806
0.18398661737976743,0.04433796501585415
0.14731619854197348,0.033274520986846516
0.13191245096058268,0.03008591357086386
0.2092222197258295,0.032174788415431976
0.13017673210751365,0.03018499618130071
0.1187496361549215,0.028372477473957197
0.10714383334470588,0.026650097324929765
0.10401632887552992,0.028092993955527033
0.11678624554415842,0.02590039718363966
0.10761923786168388,0.023323163656251773
0.09570864270434079,0.02440137416124344
0.09528055694758458,0.023438145805682455
0.12474045363011234,0.02083347924053669
0.09576668108479044,0.02208023061970196
0.0830734954806093,0.020124081522226334
0.09253642986237723,0.023435712658933232
0.09162633967037276,0.04350234568119049
0.09277002848373228,0.02167135344019958
0.07667165789572089,0.021835950602378165
0.12603570042849155,0.022236010325806483
0.09177554660282526,0.019722396241767064
0.07607747966496708,0.019589936626808985
0.10520086485134912,0.024183724341647967
0.08504440700237,0.019072910181293517
0.07439864882336213,0.021208167342203006
0.07654182795069678,0.018861643570874418
0.09781176358068258,0.017922080920210907
0.07780735673066379,0.02308307641318866
0.07662789851701655,0.01736549846827984
0.0832538066994587,0.018291006929108074
0.0885739585806092,0.020831347430189186
0.09895220089065734,0.0179074409284762
0.06876903932845316,0.02224018664232322
0.07418427580389134,0.017604560990418707
0.08313918826293433,0.02404362096318177
0.06691458283185132,0.018049027238573347
0.06865564042132011,0.0196375735104084
0.07746736709178689,0.01602375028388841
0.07296476814904228,0.0158921532066805
0.08585294154514761,0.018041995220950673
0.06622855566650226,0.01622518694715327
0.0899529266037858,0.025086093693971634
0.07551042494662534,0.014115116825061185
0.06848494282967903,0.016158095028783594
0.07743429557576156,0.015174042699592454
0.10481934030144188,0.015990885107644966
